中文文案,英语,日语,印尼语
邮件组,Mailing List,メーリングリスト,Daftar Milis
通讯录,Contacts,連絡先,Kontak
联系人,Contact,連絡先,Kontak
好友,Contact,連絡先,Kontak
添加好友,Add contact,連絡先を追加,Tambah kontak
删除好友,Delete contact,連絡先を削除,Hapus kontak
拉黑,Block,ブロック,Blokir
黑名单,Blocklist,ブロックリスト,Daftar blokir
白名单,Allowlist,ホワイトリスト,Daftar izin
员工,Employee,社員,Karyawan
同事,Colleague,同僚,Rekan Kerja
组织,Organization,組織,Organisasi
企业,Organization,企業,Organisasi
团队,Team,チーム,Tim
公司,Company,企業,Perusahaan
职位,Job Title,職位,Jabatan
企业ID,Organization ID,組織ID,ID Organisasi
加入企业,Join Organization,企業に参加,Gabung Organisasi
退出企业,Leave Organization,企業から脱退,Keluar Organisasi
切换企业,Switch Organization,組織を切り替え,Ganti Organisasi
管理员,Admin,管理者,Admin
企业管理员,Organization Admin,組織管理者,Admin Organisasi
超级管理员,Super Admin,スーパー管理者,Super Admin
名片,Business Card,名刺,Kartu Nama
个人信息,Profile,プロフィール,Profil
个人资料,Profile,プロフィール,Profil
姓名,Name,名前,Nama
邮箱地址,Mail,メール,Email
地区,Region,地域,Wilayah
国家/地区,Country/Region,国/地域,Negara/Wilayah
语言,Language,言語,Bahasa
时区,Time Zone,タイムゾーン,Zona Waktu
签名,Signature,署名,Tanda tangan
工作经历,Work Experience,職歴,Pengalaman Kerja
设置为默认,Set as Default,デフォルトに設定,Tetapkan sebagai Default
主账号,Primary Account,メインアカウント,Akun Utama
子账号,Sub Account,サブアカウント,Sub Akun
我的好友,Contacts,連絡先,Kontak
新的好友,New Contacts,新しい連絡先,Kontak Baru
企业团队邀请,Organization Invitations,企業・チームからの招待,Undangan Organisasi
创建或加入企业/团队,Create or Join a Organization,企業・チームを作成または参加,Buat atau Gabung Organisasi
企业内,Your organization,社内,Organisasi Anda
组织架构,Organization Structure,組織構成,Struktur Organisasi
AI助理,AI Assistant,AIアシスタント,Asisten AI
集团上下游,Business Partners,関連組織,Mitra Bisnis
好友请求,Contact Requests,連絡先申請,Permintaan Kontak
允许对方查看我的手机号码,Allow to see my phone number,電話番号の閲覧を許可,Izinkan melihat nomor telepon saya
来源,Source,追加元,Sumber
加入黑名单,Add to Blacklist,ブラックリストに追加,Tambahkan ke Daftar Hitam
投诉,Report,通報,Laporkan
通过扫一扫添加,Add by Scanning,QRコードで追加,Tambah dengan Pindai
通过搜索添加,Add by Search,検索して追加,Tambah dengan Pencarian
使用手册,User Guide,使い方ガイド,Panduan Pengguna
立即使用,Get Started,今すぐ使う,Mulai
添加好友,Add Contact,連絡先を追加,Tambah Kontak
请输入手机号码/钉钉号,Enter phone number / email address / DingTalk ID,電話番号／DingTalk IDを入力,Masukkan nomor telepon / alamat email / DingTalk ID
搜索,Search,検索,Cari
邀请我的,Invitations to Me,自分への招待,Undangan untuk Saya
我申请的,My Requests,申請済み,Permintaan Saya
已同意,Accepted,承認済み,Diterima
邀请你加入,Invites You to Join,参加への招待,Mengundang Anda untuk Bergabung
列表视图,List View,リスト表示,Tampilan Daftar
树状视图,Tree View,ツリー表示,Tampilan Pohon
日历,Calendar,カレンダー,Kalender
日程,Event,予定,Acara
会议,Meeting,会議,Rapat
创建日程,New Event,予定を作成,Acara Baru
编辑日程,Edit Event,予定を編集,Edit Acara
删除日程,Delete Event,予定を削除,Hapus Acara
会议,Meeting,会議,Rapat
添加标题,Title,タイトルを入力,Judul
成员,Participants,メンバー,Peserta
邀请成员,Invite Member,メンバーを招待,Undang Anggota
参会人,Members,メンバー,Anggota
可选参会人,Optional,任意,Opsional
主持人,Host,主催者,Tuan Rumah
会议主题,Topic,会議のテーマ,Topik
会议标题,Title,タイトル,Judul
会议时间,Time,会議時間,Waktu
地点,Location,場所,Lokasi
会议室,Room,会議室を追加,Ruang
视频会议,Video Meeting,ビデオ会議,Rapat Video
语音会议,Audio Meeting,ビデオ会議,Rapat Audio
离开会议,Leave,会議を退出,Tinggalkan
结束会议,End,会議を終了,Akhiri
历史记录,History,会議履歴,Riwayat
重复,Repeat,繰り返し,Ulangi
不重复,Does not repeat,繰り返さない,Tidak berulang
每天,Daily,毎日,Harian
每周,Weekly,毎週,Mingguan
每两周,Every 2 weeks,2週ごと,Setiap 2 minggu
每月,Monthly,毎月,Bulanan
每年,Yearly,毎年,Tahunan
自定义,Custom,カスタム,Kustom
全天,All day,終日,Sepanjang hari
空闲,Free,空き,Luang
冲突,Conflict,予定が重なる,Konflik
查看忙闲,Check free/busy,空き状況を確認,Periksa luang/sibuk
会议密码,Meeting Code,会議のパスコード,Kode Rapat
会议提醒,Reminder,リマインダー,Pengingat
AI听记,AI Minutes,AI議事録,AI Minutes
会议纪要,Meeting Minutes,議事録,Notulen Rapat
会议记录,Meeting Notes,議事録,Catatan Rapat
录制,Record,録画,Rekam
开始录制,Start Recording,録画を開始,Mulai Merekam
停止录制,Stop Recording,録画を終了,Hentikan Rekaman
发起会议,New Meeting,新しい会議,Rapat Baru
分组（聊天）,Category,カテゴリ,Kategori
钉钉电话,Voice Call,音声通話,Panggilan Suara
日程颜色,Event Color,予定の色,Warna Acara
选择日程属性,Select Event Attribute,所属範囲を選択,Pilih Atribut Acara
该日程的忙闲状态显示为,Show this event as,この予定の空き状況,Tampilkan acara ini sebagai
参与人权限,Participant Permissions,参加者の権限,Izin Peserta
参与人权限设置,Participant Permission Settings,参加者権限設定,Pengaturan Izin Peserta
参与人可以,Participants can,参加者ができること,Peserta dapat
添加音视频会议,Add Video Meeting,ビデオ会議を追加可能,Tambahkan Rapat Video
邀请其他成员加入日程,Invite Others to the Event,他の連絡先を招待可能,Undang Orang Lain ke Acara
议程,Agenda,議題,Agenda
加入会议,Join,会議に参加,Gabung
会议邀请,Invitation,会議招待,Undangan
添加议程,Add Agenda,議題を追加,Tambahkan Agenda
当前日程暂无议题，去收集,No agenda items yet. Start collecting,この予定,Belum ada item agenda. Mulai kumpulkan
向指定参与人收集,Collect from Selected Participants,参加者を選択,Kumpulkan dari Peserta Terpilih
忙碌,Busy,予定あり,Sibuk
动态,Activity,予定変更の履歴,Aktivitas
评论,Comments,コメント,Komentar
当他人查看我的忙闲时，该日程显示为忙碌,Show this event as busy when others view my availability,連絡先が自分の空き状況を確認する際、「予定あり」と表示されます,Tampilkan acara ini sebagai sibuk saat orang lain melihat ketersediaan saya
已接受,Accepted,承認,Diterima
暂定,Tentative,保留,Sementara
已拒绝,Declined,辞退,Ditolak
未响应,No Response,未返信,Tidak Ada Respons
全部,All,全員,Semua
参加详情,Attendance Details,参加者詳細,Detail Kehadiran
搜索参与人,Search Participants,参加者を検索,Cari Peserta
修改参与人,Edit Participants,参加者を変更,Edit Peserta
日程提醒,Event Reminder,通知時間を選択,Pengingat Acara
开始前15分钟，应用弹窗提醒我,Notify me 15 minutes before start,15分前、自分に通知,Beri tahu saya 15 menit sebelum mulai
开始时,At Start Time,予定開始時,Saat Waktu Mulai
开始前5分钟,5 minutes before,5分前,5 menit sebelumnya
开始前15分钟,15 minutes before,15分前,15 menit sebelumnya
开始前30分钟,30 minutes before,30分前,30 menit sebelumnya
开始前1小时,1 hour before,1時間前,1 jam sebelumnya
开始前2小时,2 hours before,2時間前,2 jam sebelumnya
开始前1天,1 day before,1日前,1 hari sebelumnya
开始前2天,2 days before,2日前,2 hari sebelumnya
开始前7天,1 week before,7日前,1 minggu sebelumnya
会议链接,Meeting Link,会議リンク,Tautan Rapat
特别关注,Starred,特別フォロー,Berbintang
预约会议,Book Meeting,会議を予約,Pesan Rapat
投屏,Cast,画面ミラーリング,Transmisikan
直播,Live,ライブ配信,Live
录制,Recording,録画,Rekaman
实时转写,Live Transcription,リアルタイム文字起こし,Transkripsi Langsung
字幕,Caption,字幕,Teks
共享屏幕,Share Screen,画面共有,Bagikan Layar
会议中,In Meeting,会議中,Dalam Rapat
互动,Interaction,インタラクション,Interaksi
个人便签,Notes,ノート,Catatan
美颜,Appearance,美肌,Tampilan
全员合影,Meeting snapshot,全員写真,Cuplikan Rapat
分组讨论,Breakout Rooms,ブレイクアウトルーム,Ruang Kelompok
投票,Vote,投票,Voting
设置,Settings,設定,Pengaturan
聊天,Chat,チャット,Obrolan
共享,Share,共有,Bagikan
安全,Security,安全,Keamanan
更多,More,その他,Lainnya
直属上司,Direct Supervisor,,Atasan Langsung
首页,Home,ホーム,Beranda
我的文档,My Docs,マイドキュメント,Dokumen Saya
知识库,Knowledge Base,ナレッジベース,Knowledge Base
知识小组,Knowledge Group,ナレッジグループ,Grup Pengetahuan
模板中心,Template Center,テンプレートセンター,Pusat Templat
学习中心,Learning Center,学習センター,Pusat Pembelajaran
更多,More,その他,Lainnya
最近,Recent,最近,Terbaru
收藏,Favorites,お気に入り,Favorit
与我共享,Shared with Me,自分と共有,Dibagikan kepada Saya
我共享的,Shared by Me,自分が共有した,Dibagikan oleh Saya
未读文档,Unread Docs,未読ドキュメント,Dokumen Belum Dibaca
所有类型,All Types,すべての種類,Semua Jenis
创建人,Creator,作成者,Pembuat
最近打开,Last Opened,最近,Terakhir Dibuka
新建,Create,作成,Buat
上传,Upload,アップロード,Unggah
下载,Download,ダウンロード,Unduh
搜索,Search,検索,Cari
打开,Open,開く,Buka
保存,Save,保存,Simpan
另存为,Save As,名前を付けて保存,Simpan Sebagai
关闭,Close,閉じる,Tutup
打印,Print,印刷,Cetak
导出,Export,エクスポート,Ekspor
导入,Import,インポート,Impor
共享,Share,共有,Bagikan
复制,Copy,コピー,Salin
粘贴,Paste,貼り付け,Tempel
剪切,Cut,切り取り,Potong
撤销,Undo,元に戻す,Urungkan
重做,Redo,やり直し,Ulangi
查找,Find,検索,Cari
替换,Replace,置換,Ganti
查找替换,Find and Replace,検索と置換,Cari dan Ganti
评论,Comment,コメント,Komentar
回复,Reply,返信,Balas
共享链接,Share Link,共有リンク,Bagikan Tautan
版本历史,Version History,バージョン履歴,Riwayat Versi
查看历史,View History,履歴を見る,Riwayat Tampilan
建议模式,Suggesting Mode,提案モード,Mode Saran
编辑权限,Edit Permission,編集権限,Izin Edit
查看权限,View Permission,閲覧権限,Izin Lihat
文档,Document,ドキュメント,Dokumen
表格,Spreadsheet,スプレッドシート,Spreadsheet
AI表格,AI Table,AIテーブル,AI Table
脑图,Mind Map,マインドマップ,Peta Pikiran
白板,Whiteboard,ホワイトボード,Whiteboard
幻灯片,Slides,スライド,Slide
表单,Form,フォーム,Formulir
AI听记,AI Notes,AI議事録,AI Notes
文件,File,ファイル,File
文件夹,Folder,フォルダー,Folder
更多类型,More Types,その他,Jenis Lainnya
字体,Font,フォント,Font
字体大小,Font Size,フォントサイズ,Ukuran Font
加粗,Bold,太字,Tebal
斜体,Italic,斜体,Miring
下划线,Underline,下線,Garis Bawah
删除线,Strikethrough,取り消し線,Coret
文本颜色,Text Color,文字の色,Warna Teks
高亮,Highlight,ハイライト,Sorot
对齐,Align,揃え,Ratakan
居中,Center Align,中央揃え,Rata Tengah
左对齐,Align Left,左揃え,Rata Kiri
右对齐,Align Right,右揃え,Rata Kanan
列表,List,リスト,Daftar
编号列表,Numbered List,番号付きリスト,Daftar Bernomor
项目符号,Bullet List,箇条書き,Daftar Berpoin
标题,Title,見出し,Judul
正文,Body Text,本文,Isi Teks
段落,Paragraph,段落,Paragraf
文本框,Text Box,テキストボックス,Kotak Teks
插入,Insert,挿入,Sisipkan
AI创作,AI Writing,AI作成,AI Writing
图片,Image,画像,Gambar
文件,File,ファイル,File
链接,Link,リンク,Tautan
插入图片,Insert Image,画像を挿入,Sisipkan Gambar
插入表格,Insert Table,テーブルを挿入,Sisipkan Tabel
插入图表,Insert Chart,グラフを挿入,Sisipkan Grafik
插入形状,Insert Shape,図形を挿入,Sisipkan Bentuk
插入视频,Insert Video,動画を挿入,Sisipkan Video
插入音频,Insert Audio,音声を挿入,Sisipkan Audio
插入链接,Insert Link,リンクを挿入,Sisipkan Tautan
工作簿,Workbook,ブック,Buku Kerja
工作表,Worksheet,ワークシート,Lembar Kerja
单元格,Cell,セル,Sel
行,Row,行,Baris
列,Column,列,Kolom
插入行,Insert Row,行を挿入,Sisipkan Baris
插入列,Insert Column,列を挿入,Sisipkan Kolom
删除行,Delete Row,行を削除,Hapus Baris
删除列,Delete Column,列を削除,Hapus Kolom
合并单元格,Merge Cells,セルの結合,Gabungkan Sel
拆分单元格,Unmerge Cells,セル結合を解除,Pisahkan Sel
自动换行,Wrap Text,文字列の折り返し,Bungkus Teks
排序,Sort,並び替え,Urutkan
筛选,Filter,フィルター,Filter
删除重复项,Remove Duplicates,重複の削除,Hapus Duplikat
数据验证,Data Validation,データ検証,Validasi Data
自动求和,AutoSum,オートサム,Jumlah Otomatis
函数,Function,関数,Fungsi
公式,Formula,数式,Formula
计算,Calculate,計算,Hitung
条件格式,Conditional Formatting,条件付き書式,Pemformatan Bersyarat
数据透视表,Pivot Table,ピボットテーブル,Tabel Pivot
图表,Chart,グラフ,Bagan
迷你图,Sparklines,スパークライン,Sparklines
冻结窗格,Freeze Panes,ウィンドウ枠の固定,Bekukan Panel
表单标题,Form Title,フォームタイトル,Judul Formulir
文本,Text,テキスト,Teks
数字,Number,数値,Angka
单选,Single Choice,単一選択,Pilihan Tunggal
多选,Multiple Choice,複数選択,Pilihan Ganda
图片和附件,Image & Attachment,画像と添付,Gambar & Lampiran
富文本,Rich Text,リッチテキスト,Teks Kaya
手写签名,Signature,手書き署名,Tanda tangan
货币,Currency,通貨,Mata uang
勾选框,Checkbox,チェックボックス,Kotak centang
下拉列表,Dropdown List,ドロップダウンリスト,Daftar Dropdown
跳转到,Redirect To,リダイレクト先,Alihkan ke
演示文稿,Presentation,プレゼンテーション,Presentasi
幻灯片,Slide,スライド,Slide
新建幻灯片,New Slide,新しいスライド,Slide Baru
激光笔,Laser Pointer,レーザーポインター,Penunjuk Laser
放大镜,Zoom,ズーム,Zoom
批注,Annotation,注釈,Anotasi
计时器,Timer,タイマー,Pengatur Waktu
邮箱,Mail,メール,Email
邮件,Mail,メール,Email
写邮件,Compose,メール作成,Tulis
新邮件,New Email,新規メール,Email Baru
收件箱,Inbox,受信トレイ,Kotak Masuk
发件箱,Outbox,送信トレイ,Kotak Keluar
草稿箱,Drafts,下書き,Draf
已发送,Sent,送信済み,Terkirim
已删除,Trash,ゴミ箱,Sampah
垃圾邮件,Spam,迷惑メール,Spam
归档,Archive,アーカイブ,Arsip
所有邮件,All Mail,すべて,Semua Email
邮箱文件夹,Mail Folders,メールフォルダー,Folder Email
标签,Label,ラベル,Label
重要,Important,重要,Penting
星标,Starred,スター付き,Berbintang
跟进事项,Follow up,フォローアップ,Tindak Lanjut
完成事项,Completed,完了,Selesai
已归档,Archived,アーカイブ済み,Diarsipkan
邮件详情,Mail Details,メール詳細,Detail Email
邮件正文,Message Body,本文,Isi Pesan
主题,Subject,件名,Subjek
附件,Attachment,添付ファイル,Lampiran
超大附件,Large Attachment,大容量添付ファイル,Lampiran Besar
邮件标签,Mail Label,ラベル,Label Email
邮件分类,Mail Category,カテゴリ,Kategori Email
发件人,Sender,差出人,Pengirim
收件人,To,宛先,Kepada
抄送,CC,CC,CC
密送,BCC,BCC,BCC
邮件联系人,Mail Contact,連絡先,Kontak Email
邮件模板,Template,テンプレート,Templat
邮件签名,Mail Signature,メール署名,Tanda Tangan Email
回复,Reply,返信,Balas
回复全部,Reply All,全員に返信,Balas Semua
转发,Forward,転送,Teruskan
标为未读,Mark as Unread,未読にする,Tandai Belum Dibaca
标为已读,Mark as Read,既読にする,Tandai Sudah Dibaca
添加星标,Add Star,スターを付ける,Tambahkan Bintang
删除,Delete,削除,Hapus
移动到,Move to,移動,Pindahkan ke
邮箱设置,Mail Settings,メール設定,Pengaturan Email
邮件规则,Mail Rules,メールルール,Aturan Email
邮件过滤器,Mail Filter,メールフィルター,Filter Email
自动转发,Auto Forwarding,自動転送,Penerusan Otomatis
邮件同步,Mail Sync,同期,Sinkronisasi Email
邮箱容量,Mail Storage,容量,Penyimpanan Email
邮件备份,Mail Backup,バックアップ,Cadangan Email
邮件审核,Mail Approval,承認,Persetujuan Email
邮件日志,Mail Log,ログ,Log Email
邮件导出,Mail Export,エクスポート,Ekspor Email
邮件报告,Mail Reports,レポート,Laporan Email
邮件审计,Mail Audit,監査,Audit Email
邮件合规,Mail Compliance,コンプライアンス,Kepatuhan Email
企业邮箱,Enterprise Mail,エンタープライズメール,Email Perusahaan
搜索,Search,検索,Cari
高级搜索,Advanced Search,詳細検索,Pencarian Lanjutan
筛选,Filter,フィルター,Filter
排序,Sort,並び替え,Urutkan
发件箱,Outbox,送信トレイ,Kotak Keluar
全部邮件,All,すべて,Semua
正文,Body,本文,Isi Pesan
添加附件,Add Attachment,添付ファイルを追加,Tambahkan Lampiran
下载附件,Download Attachment,添付ファイルをダウンロード,Unduh Lampiran
联系人组,Contact Group,連絡先グループ,Grup Kontak
域名,Domain,ドメイン,Domain
域名管理,Domain Management,ドメイン管理,Pengelolaan Domain
邮箱搬家,Mail Migration,メール移行,Migrasi Email
邮件迁移,Mail Migration,メール移行,Migrasi Email
自动回复,Auto Reply,自動返信,Balasan Otomatis
过滤规则,Filter Rules,フィルタールール,Aturan Filter
转发规则,Forwarding Rules,転送ルール,Aturan Penerusan
黑名单,Blacklist,ブラックリスト,Daftar Hitam
白名单,Whitelist,ホワイトリスト,Daftar Putih
邮件通知,Mail Notification,メール通知,Notifikasi Email
钉盘,Drive,ドライブ,Drive
钉钉云盘,DingTalk Drive,ドライブ,DingTalk Drive
最近,Recent,最近,Terbaru
我的文件,My Files,マイファイル,File Saya
团队文件,Team Files,チームファイル,File Tim
聊天文件,Chat Files,チャットファイル,File Obrolan
分享,Share,共有,Bagikan
文件,Files,ファイル,File
文件列表,File List,ファイル一覧,Daftar File
文件名称,File Name,ファイル名,Nama File
文件大小,File Size,ファイルサイズ,Ukuran File
文件类型,File Type,ファイルタイプ,Tipe File
文件来源,Source,ソース,Sumber
操作时间,Modified Time,更新日時,Waktu Diubah
新建,New,新規,Baru
上传,Upload,アップロード,Unggah
搜索文件,File Search,ファイル検索,Pencarian File
筛选条件,Filter,フィルター,Filter
排序,Sort,並び替え,Urutkan
操作,Action,操作,Tindakan
来源,Source,ソース,Sumber
类型,Type,タイプ,Tipe
当前筛选条件,Current Filter,現在のフィルター,Filter Saat Ini
内容,Content,コンテンツ,Konten
文件夹,Folder,フォルダー,Folder
子文件夹,Subfolder,サブフォルダー,Subfolder
共享文件,Shared File,共有ファイル,File Dibagikan
共享链接,Share Link,共有リンク,Bagikan Tautan
文件版本,File Version,ファイルバージョン,Versi File
文件权限,File Permission,ファイル権限,Izin File
备注名,Alias,表示名,Alias
备注,Alias,表示名,Alias
我在本群的昵称,Set my alias in group,表示名を変更,Atur alias saya di grup
资料设置,Contact Settings,連絡先設定,Pengaturan Kontak
再次发送好友请求,Resend Request,申請を再送,Kirim Ulang Permintaan
主管理员,Super Admin,スーパー管理者,Super Admin
子管理员,Sub Admin,サブ管理者,Sub Admin
免费,Free,無料,Luang
基础,Basic,ベーシック,Dasar
高级,Premium,プレミアム,Premium
钉闪会,Quick Meeting,クイック会議,Rapat Cepat
